source_url,title,authors,journal_info,abstract_url
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=1,Deep-learningseismology.,"Mousavi SM, Beroza GC.",Science. 2022 Aug 12;377(6607):eabm4470. doi: 10.1126/science.abm4470. Epub 2022 Aug 12.,https://pubmed.ncbi.nlm.nih.gov/35951699/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=3,A Review onDeepLearningTechniques for Video Prediction.,"Oprea S, Martinez-Gonzalez P, Garcia-Garcia A, Castro-Vargas JA, Orts-Escolano S, Garcia-Rodriguez J, Argyros A.",IEEE Trans Pattern Anal Mach Intell. 2022 Jun;44(6):2806-2826. doi: 10.1109/TPAMI.2020.3045007. Epub 2022 May 5.,https://pubmed.ncbi.nlm.nih.gov/33320810/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=3,Image-based cell phenotyping withdeeplearning.,"Pratapa A, Doron M, Caicedo JC.",Curr Opin Chem Biol. 2021 Dec;65:9-17. doi: 10.1016/j.cbpa.2021.04.001. Epub 2021 May 21.,https://pubmed.ncbi.nlm.nih.gov/34023800/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=4,Structure-based protein design withdeeplearning.,"Ovchinnikov S, Huang PS.",Curr Opin Chem Biol. 2021 Dec;65:136-144. doi: 10.1016/j.cbpa.2021.08.004. Epub 2021 Sep 20.,https://pubmed.ncbi.nlm.nih.gov/34547592/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=4,DeepLearningand Computational Chemistry.,"James T, Hristozov D.",Methods Mol Biol. 2022;2390:125-151. doi: 10.1007/978-1-0716-1787-8_5.,https://pubmed.ncbi.nlm.nih.gov/34731467/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=4,Growing ecosystem ofdeeplearningmethods for modeling protein-protein interactions.,"Rogers JR, Nikolényi G, AlQuraishi M.",Protein Eng Des Sel. 2023 Jan 21;36:gzad023. doi: 10.1093/protein/gzad023.,https://pubmed.ncbi.nlm.nih.gov/38102755/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=4,Monocular Depth Estimation UsingDeepLearning: A Review.,"Masoumian A, Rashwan HA, Cristiano J, Asif MS, Puig D.",Sensors (Basel). 2022 Jul 18;22(14):5353. doi: 10.3390/s22145353.,https://pubmed.ncbi.nlm.nih.gov/35891033/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=4,Deeplearningtools for the measurement of animal behavior in neuroscience.,"Mathis MW, Mathis A.",Curr Opin Neurobiol. 2020 Feb;60:1-11. doi: 10.1016/j.conb.2019.10.008. Epub 2019 Nov 29.,https://pubmed.ncbi.nlm.nih.gov/31791006/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=4,Molecular geometricdeeplearning.,"Shen C, Luo J, Xia K.",Cell Rep Methods. 2023 Nov 20;3(11):100621. doi: 10.1016/j.crmeth.2023.100621. Epub 2023 Oct 23.,https://pubmed.ncbi.nlm.nih.gov/37875121/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=4,"Pooling Operations inDeepLearning: From ""Invariable"" to ""Variable"".","Tao Z, XiaoYu C, HuiLing L, XinYu Y, YunCan L, XiaoMin Z.",Biomed Res Int. 2022 Jun 20;2022:4067581. doi: 10.1155/2022/4067581. eCollection 2022.,https://pubmed.ncbi.nlm.nih.gov/35769671/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=4,Anatomy-aideddeeplearningfor medical image segmentation: a review.,"Liu L, Wolterink JM, Brune C, Veldhuis RNJ.",Phys Med Biol. 2021 May 26;66(11). doi: 10.1088/1361-6560/abfbf4.,https://pubmed.ncbi.nlm.nih.gov/33906186/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=4,Recent Advances inDeepLearningfor Protein-Protein Interaction Analysis: A Comprehensive Review.,Lee M.,Molecules. 2023 Jul 2;28(13):5169. doi: 10.3390/molecules28135169.,https://pubmed.ncbi.nlm.nih.gov/37446831/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=4,RecentDeepLearningApplications to Structure-Based Drug Design.,"Verburgt J, Jain A, Kihara D.",Methods Mol Biol. 2024;2714:215-234. doi: 10.1007/978-1-0716-3441-7_13.,https://pubmed.ncbi.nlm.nih.gov/37676602/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=5,The impact ofdeeplearning.,Reichenbach JR.,Z Med Phys. 2019 May;29(2):83-84. doi: 10.1016/j.zemedi.2019.02.001. Epub 2019 Feb 19.,https://pubmed.ncbi.nlm.nih.gov/30795943/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=5,Interpretable generativedeeplearning: an illustration with single cell gene expression data.,"Treppner M, Binder H, Hess M.",Hum Genet. 2022 Sep;141(9):1481-1498. doi: 10.1007/s00439-021-02417-6. Epub 2022 Jan 6.,https://pubmed.ncbi.nlm.nih.gov/34988661/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=5,Biomedical Data andDeepLearningComputational Models for Predicting Compound-Protein Relations.,"Zhao Q, Yang M, Cheng Z, Li Y, Wang J.",IEEE/ACM Trans Comput Biol Bioinform. 2022 Jul-Aug;19(4):2092-2110. doi: 10.1109/TCBB.2021.3069040. Epub 2022 Aug 8.,https://pubmed.ncbi.nlm.nih.gov/33769935/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=5,Speaker recognition based ondeeplearning: An overview.,"Bai Z, Zhang XL.",Neural Netw. 2021 Aug;140:65-99. doi: 10.1016/j.neunet.2021.03.004. Epub 2021 Mar 17.,https://pubmed.ncbi.nlm.nih.gov/33744714/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=5,DeepLearningin Therapeutic Antibody Development.,"Shaver JM, Smith J, Amimeur T.",Methods Mol Biol. 2022;2390:433-445. doi: 10.1007/978-1-0716-1787-8_19.,https://pubmed.ncbi.nlm.nih.gov/34731481/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=5,Deeplearningshapes single-cell data analysis.,"Ma Q, Xu D.",Nat Rev Mol Cell Biol. 2022 May;23(5):303-304. doi: 10.1038/s41580-022-00466-x.,https://pubmed.ncbi.nlm.nih.gov/35197610/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=5,A review ondeep-learningalgorithms for fetal ultrasound-image analysis.,"Fiorentino MC, Villani FP, Di Cosmo M, Frontoni E, Moccia S.",Med Image Anal. 2023 Jan;83:102629. doi: 10.1016/j.media.2022.102629. Epub 2022 Oct 14.,https://pubmed.ncbi.nlm.nih.gov/36308861/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=5,Visible and Infrared Image Fusion UsingDeepLearning.,"Zhang X, Demiris Y.",IEEE Trans Pattern Anal Mach Intell. 2023 Aug;45(8):10535-10554. doi: 10.1109/TPAMI.2023.3261282. Epub 2023 Jun 30.,https://pubmed.ncbi.nlm.nih.gov/37015127/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=5,DeepLearningfor Retail Product Recognition: Challenges and Techniques.,"Wei Y, Tran S, Xu S, Kang B, Springer M.",Comput Intell Neurosci. 2020 Nov 12;2020:8875910. doi: 10.1155/2020/8875910. eCollection 2020.,https://pubmed.ncbi.nlm.nih.gov/33273903/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=5,Deeplearningvisual analysis in laparoscopic surgery: a systematic review and diagnostic test accuracy meta-analysis.,"Anteby R, Horesh N, Soffer S, Zager Y, Barash Y, Amiel I, Rosin D, Gutman M, Klang E.",Surg Endosc. 2021 Apr;35(4):1521-1533. doi: 10.1007/s00464-020-08168-1. Epub 2021 Jan 4.,https://pubmed.ncbi.nlm.nih.gov/33398560/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=6,The recent progress ofdeep-learning-based in silico prediction of drug combination.,"Liu H, Fan Z, Lin J, Yang Y, Ran T, Chen H.",Drug Discov Today. 2023 Jul;28(7):103625. doi: 10.1016/j.drudis.2023.103625. Epub 2023 May 25.,https://pubmed.ncbi.nlm.nih.gov/37236526/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=6,[DeepLearningand Natural Language Processing].,Tsuruoka Y.,Brain Nerve. 2019 Jan;71(1):45-55. doi: 10.11477/mf.1416201215.,https://pubmed.ncbi.nlm.nih.gov/30630129/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=6,Protein structure prediction in thedeeplearningera.,"Peng Z, Wang W, Han R, Zhang F, Yang J.",Curr Opin Struct Biol. 2022 Dec;77:102495. doi: 10.1016/j.sbi.2022.102495. Epub 2022 Nov 10.,https://pubmed.ncbi.nlm.nih.gov/36371845/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=6,"A review ofdeeplearning-based multiple-lesion recognition from medical images: classification, detection and segmentation.","Jiang H, Diao Z, Shi T, Zhou Y, Wang F, Hu W, Zhu X, Luo S, Tong G, Yao YD.",Comput Biol Med. 2023 May;157:106726. doi: 10.1016/j.compbiomed.2023.106726. Epub 2023 Mar 1.,https://pubmed.ncbi.nlm.nih.gov/36924732/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=6,Deeplearningand generative methods in cheminformatics and chemical biology: navigating small molecule space intelligently.,"Kell DB, Samanta S, Swainston N.",Biochem J. 2020 Dec 11;477(23):4559-4580. doi: 10.1042/BCJ20200781.,https://pubmed.ncbi.nlm.nih.gov/33290527/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=6,Deeplearningin modeling protein complex structures: From contact prediction to end-to-end approaches.,"Lin P, Li H, Huang SY.",Curr Opin Struct Biol. 2024 Apr;85:102789. doi: 10.1016/j.sbi.2024.102789. Epub 2024 Feb 24.,https://pubmed.ncbi.nlm.nih.gov/38402744/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=6,Applications of interpretability indeeplearningmodels for ophthalmology.,"Hanif AM, Beqiri S, Keane PA, Campbell JP.",Curr Opin Ophthalmol. 2021 Sep 1;32(5):452-458. doi: 10.1097/ICU.0000000000000780.,https://pubmed.ncbi.nlm.nih.gov/34231530/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=6,Class-ImbalancedDeepLearningvia a Class-Balanced Ensemble.,"Chen Z, Duan J, Kang L, Qiu G.",IEEE Trans Neural Netw Learn Syst. 2022 Oct;33(10):5626-5640. doi: 10.1109/TNNLS.2021.3071122. Epub 2022 Oct 5.,https://pubmed.ncbi.nlm.nih.gov/33900923/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=6,Integration ofdeeplearning-based image analysis and genomic data in cancer pathology: A systematic review.,"Schneider L, Laiouar-Pedari S, Kuntz S, Krieghoff-Henning E, Hekler A, Kather JN, Gaiser T, Fröhling S, Brinker TJ.",Eur J Cancer. 2022 Jan;160:80-91. doi: 10.1016/j.ejca.2021.10.007. Epub 2021 Nov 19.,https://pubmed.ncbi.nlm.nih.gov/34810047/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=6,Data sharing in the age ofdeeplearning.,[No authors listed],Nat Biotechnol. 2023 Apr;41(4):433. doi: 10.1038/s41587-023-01770-3.,https://pubmed.ncbi.nlm.nih.gov/37020134/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=7,"Advances inDeep-Learning-Based Sensing, Imaging, and Video Processing.","Zhang Y, Kwong S, Xu L, Zhao T.",Sensors (Basel). 2022 Aug 18;22(16):6192. doi: 10.3390/s22166192.,https://pubmed.ncbi.nlm.nih.gov/36015952/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=7,Deeplearningfor unsupervised domain adaptation in medical imaging: Recent advancements and future perspectives.,"Kumari S, Singh P.",Comput Biol Med. 2024 Mar;170:107912. doi: 10.1016/j.compbiomed.2023.107912. Epub 2023 Dec 28.,https://pubmed.ncbi.nlm.nih.gov/38219643/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=7,DeepLearningand Computational Neuroscience.,De Schutter E.,Neuroinformatics. 2018 Jan;16(1):1-2. doi: 10.1007/s12021-018-9360-6.,https://pubmed.ncbi.nlm.nih.gov/29353340/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=7,Deeplearningin biomedicine.,"Wainberg M, Merico D, Delong A, Frey BJ.",Nat Biotechnol. 2018 Oct;36(9):829-838. doi: 10.1038/nbt.4233. Epub 2018 Sep 6.,https://pubmed.ncbi.nlm.nih.gov/30188539/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=7,An Experimental Review onDeepLearningArchitectures for Time Series Forecasting.,"Lara-Benítez P, Carranza-García M, Riquelme JC.",Int J Neural Syst. 2021 Mar;31(3):2130001. doi: 10.1142/S0129065721300011. Epub 2021 Feb 16.,https://pubmed.ncbi.nlm.nih.gov/33588711/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=7,Intelligent Imaging: Anatomy of MachineLearningandDeepLearning.,Currie G.,J Nucl Med Technol. 2019 Dec;47(4):273-281. doi: 10.2967/jnmt.119.232470. Epub 2019 Aug 10.,https://pubmed.ncbi.nlm.nih.gov/31401617/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=7,Review and Prospect:DeepLearningin Nuclear Magnetic Resonance Spectroscopy.,"Chen D, Wang Z, Guo D, Orekhov V, Qu X.",Chemistry. 2020 Aug 17;26(46):10391-10401. doi: 10.1002/chem.202000246. Epub 2020 Jun 25.,https://pubmed.ncbi.nlm.nih.gov/32251549/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=7,DeepLearningfor Protein-Protein Interaction Site Prediction.,"Jamasb AR, Day B, Cangea C, Liò P, Blundell TL.",Methods Mol Biol. 2021;2361:263-288. doi: 10.1007/978-1-0716-1641-3_16.,https://pubmed.ncbi.nlm.nih.gov/34236667/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=7,Deep-Learning-Assisted Focused Ion Beam Nanofabrication.,"Buchnev O, Grant-Jacob JA, Eason RW, Zheludev NI, Mills B, MacDonald KF.",Nano Lett. 2022 Apr 13;22(7):2734-2739. doi: 10.1021/acs.nanolett.1c04604. Epub 2022 Mar 24.,https://pubmed.ncbi.nlm.nih.gov/35324209/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=7,Pitfalls in training and validation ofdeeplearningsystems.,"Eelbode T, Sinonquel P, Maes F, Bisschops R.",Best Pract Res Clin Gastroenterol. 2021 Jun-Aug;52-53:101712. doi: 10.1016/j.bpg.2020.101712. Epub 2020 Dec 4.,https://pubmed.ncbi.nlm.nih.gov/34172245/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=8,All answers are in the images: A review ofdeeplearningfor cerebrovascular segmentation.,"Chen C, Zhou K, Wang Z, Zhang Q, Xiao R.",Comput Med Imaging Graph. 2023 Jul;107:102229. doi: 10.1016/j.compmedimag.2023.102229. Epub 2023 Apr 6.,https://pubmed.ncbi.nlm.nih.gov/37043879/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=8,DeepLearningImproves Predictions of the Need for Total Knee Replacement.,Richardson ML.,Radiology. 2020 Sep;296(3):594-595. doi: 10.1148/radiol.2020202332. Epub 2020 Jun 23.,https://pubmed.ncbi.nlm.nih.gov/32579090/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=8,"Deeplearningfor hydrocephalus prognosis: Advances, challenges, and future directions: A review.","Huang J, Shen N, Tan Y, Tang Y, Ding Z.",Medicine (Baltimore). 2025 Jun 27;104(26):e43082. doi: 10.1097/MD.0000000000043082.,https://pubmed.ncbi.nlm.nih.gov/40587678/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=8,Deeplearning3D structures.,Singh A.,Nat Methods. 2020 Mar;17(3):249. doi: 10.1038/s41592-020-0779-y.,https://pubmed.ncbi.nlm.nih.gov/32132733/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=8,Neural networks anddeeplearning: a brief introduction.,"Georgevici AI, Terblanche M.",Intensive Care Med. 2019 May;45(5):712-714. doi: 10.1007/s00134-019-05537-w. Epub 2019 Feb 6.,https://pubmed.ncbi.nlm.nih.gov/30725133/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=8,Hybriddeeplearningapproach to improve classification of low-volume high-dimensional data.,"Mavaie P, Holder L, Skinner MK.",BMC Bioinformatics. 2023 Nov 7;24(1):419. doi: 10.1186/s12859-023-05557-w.,https://pubmed.ncbi.nlm.nih.gov/37936066/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=8,Machinelearninganddeeplearningapplied in ultrasound.,"Pehrson LM, Lauridsen C, Nielsen MB.",Ultraschall Med. 2018 Aug;39(4):379-381. doi: 10.1055/a-0642-9545. Epub 2018 Aug 2.,https://pubmed.ncbi.nlm.nih.gov/30071556/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=8,"Deeplearning-enhanced, open-source eigenmode expansion.","Hammond IM, Hammond AM, Camacho RM.",Opt Lett. 2022 Mar 15;47(6):1383-1386. doi: 10.1364/OL.443664.,https://pubmed.ncbi.nlm.nih.gov/35290319/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=8,Evaluation methodology fordeeplearningimputation models.,"Boursalie O, Samavi R, Doyle TE.",Exp Biol Med (Maywood). 2022 Nov;247(22):1972-1987. doi: 10.1177/15353702221121602. Epub 2022 Sep 21.,https://pubmed.ncbi.nlm.nih.gov/36562377/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=8,[Deeplearningin ophthalmology].,Eter N.,Ophthalmologe. 2018 Sep;115(9):712-713. doi: 10.1007/s00347-018-0713-1.,https://pubmed.ncbi.nlm.nih.gov/29725813/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=9,Omics Data and Data Representations forDeepLearning-Based Predictive Modeling.,"Tsimenidis S, Vrochidou E, Papakostas GA.",Int J Mol Sci. 2022 Oct 14;23(20):12272. doi: 10.3390/ijms232012272.,https://pubmed.ncbi.nlm.nih.gov/36293133/
https://pubmed.ncbi.nlm.nih.gov/?term=deep%20learning&page=9,Deep-learning-based isolation of perturbation-induced variations in single-cell data.,[No authors listed],Nat Methods. 2023 Sep;20(9):1287-1288. doi: 10.1038/s41592-023-01956-2.,https://pubmed.ncbi.nlm.nih.gov/37550581/
